Name,Team_Abr,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Luis Robert,CHW,135,580,535,141,24,6,27,79,89,32,167,8,24,8,.264,.312,.482,.794,.330,5.1,1.0,3.3,35.5
Rafael Devers,BOS,156,675,624,179,44,3,32,102,112,45,146,4,5,4,.287,.338,.521,.859,.355,-6.7,-1.1,3.3,41.2
Michael Conforto,NYM,144,608,518,137,26,1,27,86,93,76,152,11,7,4,.264,.368,.475,.843,.356,1.7,-0.7,3.3,74.2
Ramon Laureano,OAK,132,534,471,117,26,2,25,74,75,44,149,13,12,3,.248,.326,.471,.797,.334,3.2,0.8,3.2,144.6
Will Smith,LAD,109,434,374,90,20,1,23,61,83,48,109,7,2,0,.241,.334,.484,.818,.342,3.1,0.2,3.2,97.5
Cavan Biggio,TOR,141,609,514,118,26,3,22,84,75,85,169,5,14,3,.230,.342,.420,.762,.327,5.3,1.2,3.2,68.0
Yoan Moncada,CHW,141,609,545,142,26,5,24,81,81,57,183,4,9,4,.261,.333,.459,.792,.333,2.3,-0.3,3.2,88.5
Josh Donaldson,MIN,110,458,381,93,18,0,22,59,61,70,107,5,2,1,.244,.367,.465,.831,.353,1.6,-0.3,3.0,192.0
Whit Merrifield,KCR,147,653,605,173,34,4,16,85,65,37,101,6,28,9,.286,.331,.435,.765,.323,5.3,1.3,3.0,41.9
Jeff McNeil,NYM,140,581,522,155,33,3,16,71,70,41,71,14,6,5,.297,.362,.464,.826,.349,-4.0,-1.3,3.0,92.6
Michael Brantley,HOU,130,557,505,151,31,2,16,73,70,44,67,4,7,2,.299,.357,.463,.821,.347,2.0,0.2,2.9,149.5
Luis Arraez,MIN,150,609,552,173,32,2,5,78,45,52,46,1,5,3,.313,.371,.406,.777,.336,0.4,-0.7,2.9,454.3
Eugenio Suarez,CIN,147,606,523,129,23,2,34,76,107,70,165,8,4,2,.247,.342,.493,.835,.347,-0.4,-0.4,2.9,69.5
Jeimer Candelario,DET,140,580,516,130,30,4,20,72,72,56,143,6,3,1,.252,.331,.442,.773,.328,5.7,-0.1,2.9,284.4
Brandon Lowe,TBR,131,530,473,115,25,3,26,69,83,48,157,6,6,2,.243,.319,.474,.792,.332,1.8,0.1,2.9,72.0
Max Kepler,MIN,139,570,499,124,30,2,27,82,75,62,102,6,5,3,.248,.337,.479,.816,.342,6.6,-0.6,2.8,189.2
Paul DeJong,STL,145,595,531,130,28,1,23,76,83,48,153,10,4,2,.245,.316,.431,.747,.316,6.8,-0.4,2.8,233.8
